date,pjm_pv_jeremy_scaled
42486.12,0
42486.17,0
42486.21,0.258479198
42486.25,0.513308987
42486.29,0.638503779
42486.33,0.702224172
42486.37,0.731675857
42486.42,0.739390693
42486.46,0.762303945
42486.5,0.698328741
42486.54,0.626000191
42486.58,0.54350517
42486.62,0.533966878
42486.67,0.466929983
42486.71,0.269954164
42486.75,0.001103191
42486.79,0
42486.83,0
42486.87,0
42486.92,0
42486.96,0
42487,0
42487.04,0
42487.08,0
42487.12,0
42487.17,0
42487.21,0.142688692
42487.25,0.27004756
42487.29,0.460876503
42487.33,0.294994584
42487.37,0.511065128
42487.42,0.578238015
42487.46,0.637843836
42487.5,0.664737387
42487.54,0.591982657
42487.58,0.404512187
42487.62,0.481958531
42487.67,0.357552341
42487.71,0.179178814
42487.75,0.000858651
42487.79,0
42487.83,0
42487.87,0
42487.92,0
42487.96,0
42488,0
42488.04,0
42488.08,0
42488.12,0
42488.17,0
42488.21,0.034490666
42488.25,0.079513419
42488.29,0.141275837
42488.33,0.155264804
42488.37,0.240405078
42488.42,0.195057119
42488.46,0.210253757
42488.5,0.248470326
42488.54,0.257357229
42488.58,0.193227371
42488.62,0.124566665
42488.67,0.1171518
42488.71,0.112594656
42488.75,0.001472594
42488.79,0
42488.83,0
42488.87,0
42488.92,0
42488.96,0
42489,0
42489.04,0
42489.08,0
42489.12,0
42489.17,0
42489.21,0.030411179
42489.25,0.089620119
42489.29,0.158397269
42489.33,0.180448283
42489.37,0.205390955
42489.42,0.200753163
42489.46,0.1611313
42489.5,0.178488348
42489.54,0.132854565
42489.58,0.106007272
42489.62,0.107444128
42489.67,0.062167944
42489.71,0.048437967
42489.75,0.001104985
42489.79,0
42489.83,0
42489.87,0
42489.92,0
42489.96,0
42490,0
42490.04,0
42490.08,0
42490.12,0
42490.17,0
42490.21,0.105819205
42490.25,0.03727482
42490.29,0.102339124
42490.33,0.116885556
42490.37,0.139357881
42490.42,0.171357773
42490.46,0.172009154
42490.5,0.127678715
42490.54,0.125813892
42490.58,0.099635694
42490.62,0.05313408
42490.67,0.039475159
42490.71,0.162843316
42490.75,0.00135083
42490.79,0
42490.83,0
42490.87,0
42490.92,0
42490.96,0
42491,0
42491.04,0
42491.08,0
42491.12,0
42491.17,0
