Date,Desert_NC
40701.46,0
40701.5,0
40701.54,0
40701.58,0
40701.62,0
40701.67,0.001122958
40701.71,0.156198566
40701.75,0.188072529
40701.79,0.294971315
40701.83,0.419289469
40701.87,0.448388877
40701.92,0.396139937
40701.96,0.407957431
40702,0.43795094
40702.04,0.458425118
40702.08,0.415888524
40702.12,0.421169354
40702.17,0.407616128
40702.21,0.37818238
40702.25,0.17043104
40702.29,0.096565973
40702.33,0.034065758
40702.37,0.016050819
40702.42,0.010224256
40702.46,0.010851267
40702.5,0.0086235
40702.54,0.010144206
40702.58,0.009450644
40702.62,0.009453994
40702.67,0.009897066
40702.71,0.012700401
40702.75,0.043772435
40702.79,0.162594265
40702.83,0.157857232
40702.87,0.383059421
40702.92,0.368354898
40702.96,0.326610146
40703,0.391090292
40703.04,0.405301369
40703.08,0.472644604
40703.12,0.368050619
40703.17,0.380269746
40703.21,0.413351301
40703.25,0.167211065
40703.29,0.092914198
40703.33,0.046961563
40703.37,0.031877307
40703.42,0.0320964
40703.46,0.050051787
40703.5,0.013242403
40703.54,0.008871722
40703.58,0.007894635
40703.62,0.022877467
40703.67,0.301231749
40703.71,0.169926507
40703.75,0.351358553
40703.79,0.405806076
40703.83,0.488996604
40703.87,0.492651199
40703.92,0.427988976
40703.96,0.400551575
40704,0.411534537
40704.04,0.40564612
40704.08,0.372065564
40704.12,0.366452619
40704.17,0.348404491
40704.21,0.321374274
40704.25,0.140179044
40704.29,0.082052942
40704.33,0.026822599
40704.37,0.030561721
40704.42,0.027092235
40704.46,0.028482219
40704.5,0.022346995
40704.54,0.021695427
40704.58,0.016216451
40704.62,0.033333706
40704.67,0.036528133
40704.71,0.112189496
40704.75,0.410691889
40704.79,0.336906855
40704.83,0.305708693
40704.87,0.37984602
40704.92,0.14897747
40704.96,0.020667536
40705,0.004667283
40705.04,0.080269302
40705.08,0.259822661
40705.12,0.401337605
40705.17,0.386445299
40705.21,0.282949463
40705.25,0.134716327
40705.29,0.10845257
40705.33,0.088855052
40705.37,0.068765669
40705.42,0.056651192
40705.46,0.04965477
40705.5,0.052433457
40705.54,0.090177717
40705.58,0.14014547
40705.62,0.220135849
40705.67,0.219227995
40705.71,0.28767535
40705.75,0.435249308
40705.79,0.288150672
40705.83,0.5158875
40705.87,0.48544178
40705.92,0.188640193
40705.96,0.008714043
40706,0.007772305
40706.04,0.052636121
40706.08,0.097847911
40706.12,0.134731204
40706.17,0.273555535
40706.21,0.25346958
40706.25,0.071465487
40706.29,0.078497996
40706.33,0.115554463
40706.37,0.088477314
40706.42,0.043948682
40706.46,0.044068402
40706.5,0.031417177
40706.54,0.040328121
40706.58,0.05727971
40706.62,0.063455034
40706.67,0.223469579
40706.71,0.307117357
40706.75,0.210751967
40706.79,0.22682861
40706.83,0.056285683
40706.87,0.00291103
40706.92,0.008986986
40706.96,0.106888968
40707,0.175239978
40707.04,0.182621061
40707.08,0.11423287
40707.12,0.214209012
40707.17,0.1423032
40707.21,0.141766099
40707.25,0.093059213
40707.29,0.115853929
40707.33,0.10939579
40707.37,0.093929695
40707.42,0.076333606
40707.46,0.063275694
40707.5,0.059741199
40707.54,0.085332671
40707.58,0.037742371
40707.62,0.010369877
40707.67,0.016194067
40707.71,0.045757498
40707.75,0.141780431
40707.79,0.295757283
40707.83,0.380012576
40707.87,0.35586176
40707.92,0.18779284
40707.96,0.092287334
40708,0.00920774
40708.04,0
40708.08,0
40708.12,0.008820818
40708.17,0.19012868
40708.21,0.258166077
40708.25,0.102992468
40708.29,0.057584206
40708.33,0.093525863
40708.37,0.110202907
40708.42,0.1210243
40708.46,0.102972058
40708.5,0.184300824
40708.54,0.157767012
40708.58,0.121956384
40708.62,0.132861352
40708.67,0.110232919
40708.71,0.072205896
40708.75,0.068572278
40708.79,0.082072882
40708.83,0.028676397
40708.87,0.012611256
40708.92,0.009551543
40708.96,0.019451462
40709,0.029305252
40709.04,0.20996094
40709.08,0.337554212
40709.12,0.255719182
40709.17,0.310453355
40709.21,0.280214688
40709.25,0.030261872
40709.29,0.02500588
40709.33,0.059145196
40709.37,0.077768659
40709.42,0.0907175
40709.46,0.073586306
40709.5,0.083466394
40709.54,0.027646818
40709.58,0.02591933
40709.62,0.008905332
40709.67,0.002779855
40709.71,0.02071612
40709.75,0.071753273
40709.79,0.079868846
40709.83,0.062936048
40709.87,0.024967264
40709.92,0.007439785
40709.96,0.013778062
40710,0.011263789
40710.04,0.008657924
40710.08,0.072337991
40710.12,0.124575519
40710.17,0.122706529
40710.21,0.10190129
40710.25,0.049692203
40710.29,0.050139279
40710.33,0.068024246
40710.37,0.056252496
40710.42,0.068233619
40710.46,0.108122652
40710.5,0.225301749
40710.54,0.380775452
40710.58,0.324526639
40710.62,0.532997757
40710.67,0.572199638
40710.71,0.415776199
40710.75,0.318484952
40710.79,0.367624966
40710.83,0.329087874
40710.87,0.251070663
40710.92,0.330574601
40710.96,0.362626285
40711,0.422535157
40711.04,0.387156654
40711.08,0.322649351
40711.12,0.380493219
40711.17,0.41677464
40711.21,0.317868444
40711.25,0.131622554
40711.29,0.090897749
40711.33,0.096750998
40711.37,0.05243442
40711.42,0.029715989
40711.46,0.059584548
40711.5,0.095416921
40711.54,0.080462597
40711.58,0.068402821
40711.62,0.074518007
40711.67,0.093130577
40711.71,0.511829573
40711.75,0.158385299
40711.79,0.050734989
40711.83,0.001688086
40711.87,0.008905567
40711.92,0.122072305
40711.96,0.110509774
40712,0.023221456
40712.04,0.005643367
40712.08,0.000986173
40712.12,0.263400207
40712.17,0.399476836
40712.21,0.462704724
40712.25,0.20662818
40712.29,0.109533203
40712.33,0.014774033
40712.37,0.02708129
40712.42,0.061475048
40712.46,0.0912619
40712.5,0.120515567
40712.54,0.186650415
40712.58,0.149007743
40712.62,0.196757332
40712.67,0.403100802
40712.71,0.346799661
40712.75,0.266516728
40712.79,0.040478606
40712.83,0.15274383
40712.87,0.231808163
40712.92,0.403723768
40712.96,0.371805661
40713,0.298281418
40713.04,0.264956889
40713.08,0.292455398
40713.12,0.403857989
40713.17,0.38919166
40713.21,0.282720139
40713.25,0.10989401
40713.29,0.091512111
40713.33,0.069361128
40713.37,0.250374368
40713.42,0.258783619
40713.46,0.236126002
40713.5,0.329801178
40713.54,0.337651131
40713.58,0.326181582
40713.62,0.099526652
40713.67,0.084310166
40713.71,0.03714839
40713.75,0.053192705
40713.79,0.150092475
40713.83,0.126958188
40713.87,0.110392215
40713.92,0.391043239
40713.96,0.027965373
