Date,Power (MW per MW installed capacity)
39130.95833,0.13152757
39131,0.156656927
39131.04167,0.161608793
39131.08333,0.170288439
39131.125,0.165286911
39131.16667,0.151600435
39131.20833,0.142300017
39131.25,0.110334507
39131.29167,0.094860853
39131.33333,0.055564432
39131.375,0.046741405
39131.41667,0.064823913
39131.45833,0.097556516
39131.5,0.144641775
39131.54167,0.203080717
39131.58333,0.271120833
39131.625,0.324330917
39131.66667,0.349218114
39131.70833,0.356343712
39131.75,0.349798243
39131.79167,0.382989199
39131.83333,0.428089952
39131.875,0.48112072
39131.91667,0.540234691
39131.95833,0.510025964
39132,0.487612493
39132.04167,0.480464857
39132.08333,0.49705541
39132.125,0.521408123
39132.16667,0.544659988
39132.20833,0.591152105
39132.25,0.620386305
39132.29167,0.504966676
39132.33333,0.462639224
39132.375,0.43472329
39132.41667,0.444726637
39132.45833,0.394255153
39132.5,0.324149346
39132.54167,0.288906338
39132.58333,0.235196685
39132.625,0.186894146
39132.66667,0.202519594
39132.70833,0.29180867
39132.75,0.328020816
39132.79167,0.33967508
39132.83333,0.328518609
39132.875,0.311816849
