Date,Radfords_Run_IL
39784.5,0.40755428
39784.54,0.435871543
39784.58,0.474234657
39784.62,0.644297599
39784.67,0.816555078
39784.71,0.78117006
39784.75,0.794613175
39784.79,0.789291245
39784.83,0.790929685
39784.87,0.801458413
39784.92,0.812362838
39784.96,0.810361005
39785,0.816431132
39785.04,0.83043215
39785.08,0.818141277
39785.12,0.814295255
39785.17,0.827374694
39785.21,0.754901605
39785.25,0.765349478
39785.29,0.744376019
39785.33,0.688654096
39785.37,0.544020199
39785.42,0.32133847
39785.46,0.182108576
39785.5,0.177520958
39785.54,0.229933341
39785.58,0.250832767
39785.62,0.433956805
39785.67,0.667624568
39785.71,0.639524624
39785.75,0.673040306
39785.79,0.616217738
39785.83,0.711140311
39785.87,0.72743682
39785.92,0.805682905
39785.96,0.725073409
39786,0.642997417
39786.04,0.558205014
39786.08,0.449915399
39786.12,0.393751073
39786.17,0.314932627
39786.21,0.263588851
39786.25,0.252913394
39786.29,0.318679981
39786.33,0.297739642
39786.37,0.26562275
39786.42,0.289837035
39786.46,0.274350235
39786.5,0.321753159
39786.54,0.433804507
39786.58,0.368714866
39786.62,0.289844643
39786.67,0.236789862
39786.71,0.322484287
39786.75,0.381422566
39786.79,0.193518093
39786.83,0.43442004
39786.87,0.568273549
39786.92,0.482068908
39786.96,0.403640278
39787,0.370012311
39787.04,0.44783642
39787.08,0.388872676
39787.12,0.321644303
39787.17,0.292389013
39787.21,0.280540904
39787.25,0.265969705
39787.29,0.229293442
39787.33,0.10344775
39787.37,0.02379672
39787.42,0.063762366
39787.46,0.069210997
39787.5,0.072143547
39787.54,0.074614732
39787.58,0.097826276
39787.62,0.140152467
39787.67,0.27339036
39787.71,0.455981588
39787.75,0.598232414
39787.79,0.602385056
39787.83,0.623379486
39787.87,0.676644396
39787.92,0.689712303
39787.96,0.778131082
39788,0.777364928
39788.04,0.812870427
39788.08,0.830959013
39788.12,0.829956949
39788.17,0.829052218
39788.21,0.830531723
39788.25,0.816663474
39788.29,0.748298933
39788.33,0.762001314
39788.37,0.66182916
39788.42,0.592870345
39788.46,0.688838027
39788.5,0.729553737
39788.54,0.797792466
39788.58,0.817182541
39788.62,0.789040348
39788.67,0.741461876
39788.71,0.722500997
39788.75,0.769267421
39788.79,0.681079465
39788.83,0.690789854
39788.87,0.727516337
39788.92,0.671747226
39788.96,0.573178933
39789,0.387916482
39789.04,0.266408561
39789.08,0.303513132
39789.12,0.357268521
39789.17,0.263049985
39789.21,0.187139944
39789.25,0.145727949
39789.29,0.087914078
39789.33,0.00631123
39789.37,0
39789.42,0
39789.46,0
39789.5,0
39789.54,0.011402901
39789.58,0.029093851
39789.62,0.090278573
39789.67,0.227744336
39789.71,0.383529292
39789.75,0.437739273
39789.79,0.593419553
39789.83,0.673001781
39789.87,0.716075888
39789.92,0.703047836
39789.96,0.65929922
