date,pjm_pv_jeremy_3_28
40744.21,0.001604577
40744.25,0.069679702
40744.29,0.221406432
40744.33,0.395967582
40744.37,0.534173299
40744.42,0.667358458
40744.46,0.725108831
40744.5,0.763185224
40744.54,0.74135814
40744.58,0.694666772
40744.62,0.592134065
40744.67,0.481243297
40744.71,0.309784546
40744.75,0.12272386
40744.79,0.023339649
40744.83,0
40744.87,0
40744.92,0
40744.96,0
40745,0
40745.04,0
40745.08,0
40745.12,0
40745.17,0
40745.21,0.000294418
40745.25,0.054166436
40745.29,0.215667877
40745.33,0.416864922
40745.37,0.565247919
40745.42,0.672619228
40745.46,0.728782072
40745.5,0.749535706
40745.54,0.737643252
40745.58,0.680030968
40745.62,0.607704089
40745.67,0.477710402
40745.71,0.307953625
40745.75,0.127258723
40745.79,0.023836082
40745.83,0
40745.87,0
40745.92,0
40745.96,0
40746,0
40746.04,0
40746.08,0
40746.12,0
40746.17,0
40746.21,0.000879946
40746.25,0.065589967
40746.29,0.232431107
40746.33,0.414648396
40746.37,0.545871266
40746.42,0.669748473
40746.46,0.726668037
40746.5,0.699288295
40746.54,0.687941823
40746.58,0.605222151
40746.62,0.52098038
40746.67,0.426616792
40746.71,0.253879985
40746.75,0.101668
40746.79,0.017430133
40746.83,0
40746.87,0
40746.92,0
40746.96,0
40747,0
40747.04,0
40747.08,0
40747.12,0
40747.17,0
40747.21,0.000600754
40747.25,0.055964891
40747.29,0.201242696
40747.33,0.342103958
40747.37,0.489737218
40747.42,0.577041161
40747.46,0.655296309
40747.5,0.707368512
40747.54,0.699360294
40747.58,0.606928282
40747.62,0.528823627
40747.67,0.452833375
40747.71,0.249944273
40747.75,0.106332089
40747.79,0.020299072
40747.83,0
40747.87,0
40747.92,0
40747.96,0
40748,0
40748.04,0
40748.08,0
40748.12,0
40748.17,0
40748.21,0
40748.25,0.059448079
40748.29,0.191020142
40748.33,0.310166917
40748.37,0.391945527
40748.42,0.467744307
40748.46,0.457082637
40748.5,0.539033769
40748.54,0.619350849
40748.58,0.58388925
40748.62,0.453923948
40748.67,0.380090937
40748.71,0.236676604
40748.75,0.105155803
40748.79,0.019307528
40748.83,0
40748.87,0
40748.92,0
40748.96,0
40749,0
40749.04,0
40749.08,0
40749.12,0
40749.17,0
40749.21,0
40749.25,0.055452747
40749.29,0.193493264
40749.33,0.375650526
40749.37,0.445522531
40749.42,0.47673999
40749.46,0.514753003
40749.5,0.385118068
40749.54,0.420206843
40749.58,0.298015626
40749.62,0.333721123
40749.67,0.267082196
40749.71,0.192187
40749.75,0.081210371
40749.79,0.015003992
40749.83,0
40749.87,0
40749.92,0
40749.96,0
40750,0
40750.04,0
40750.08,0
40750.12,0
40750.17,0
40750.21,0
40750.25,0.054298316
40750.29,0.229611264
40750.33,0.460689168
40750.37,0.620727941
40750.42,0.723178158
40750.46,0.777755892
40750.5,0.795395019
40750.54,0.780593691
40750.58,0.734315345
40750.62,0.647186196
40750.67,0.45492723
40750.71,0.280532048
40750.75,0.1252774
40750.79,0.021885602
40750.83,0
40750.87,0
40750.92,0
40750.96,0
40751,0
40751.04,0
40751.08,0
40751.12,0
40751.17,0
40751.21,0
40751.25,0.051615791
40751.29,0.258475089
40751.33,0.472160167
40751.37,0.63424253
40751.42,0.740213836
40751.46,0.795624744
40751.5,0.812123065
40751.54,0.795876393
40751.58,0.748191527
40751.62,0.631673683
40751.67,0.465783501
40751.71,0.292257286
40751.75,0.109139379
40751.79,0.019629717
40751.83,0
40751.87,0
40751.92,0
40751.96,0
40752,0
40752.04,0
40752.08,0
40752.12,0
40752.17,0
40752.21,0
40752.25,0.049613625
40752.29,0.17621655
40752.33,0.34847506
40752.37,0.409668349
40752.42,0.485305452
40752.46,0.486826388
40752.5,0.452330778
40752.54,0.42975064
40752.58,0.329790229
40752.62,0.316787987
40752.67,0.22530179
40752.71,0.125849354
40752.75,0.061888913
40752.79,0.007920018
40752.83,0
40752.87,0
40752.92,0
40752.96,0
40753,0
40753.04,0
40753.08,0
40753.12,0
40753.17,0
40753.21,0
40753.25,0.055658586
40753.29,0.227777381
40753.33,0.404172059
40753.37,0.560989749
40753.42,0.653362327
40753.46,0.702380369
40753.5,0.716986653
40753.54,0.698402207
40753.58,0.615175752
40753.62,0.533366584
40753.67,0.292732257
40753.71,0.219703075
40753.75,0.086065249
40753.79,0.010757826
40753.83,0
40753.87,0
40753.92,0
40753.96,0
40754,0
40754.04,0
40754.08,0
40754.12,0
40754.17,0
40754.21,0
40754.25,0.052655763
40754.29,0.223064221
40754.33,0.384211826
40754.37,0.588974636
40754.42,0.688792203
40754.46,0.768404078
40754.5,0.786514977
40754.54,0.721231709
40754.58,0.728916177
40754.62,0.645068233
40754.67,0.512061481
