Date,PJM Load (MW)
38766.92,109248.3199
38766.96,105834.5966
38767,101931.8552
38767.04,98434.21199
38767.08,96484.53446
38767.12,95811.0561
38767.17,95859.98875
38767.21,96685.12367
38767.25,98566.61869
38767.29,101431.5924
38767.33,103780.5959
38767.37,105306.2942
38767.42,105456.5333
38767.46,104004.4548
38767.5,102156.1096
38767.54,100216.3319
38767.58,97534.28452
38767.62,94843.65505
38767.67,93612.2751
38767.71,94417.96512
38767.75,99106.42474
38767.79,106708.6901
38767.83,109151.0579
38767.87,108200.661
38767.92,105629.0269
38767.96,101778.2178
38768,97251.36819
38768.04,93215.06369
38768.08,91099.11718
38768.12,90237.82563
38768.17,90338.22455
38768.21,91919.44229
38768.25,96273.11667
38768.29,103213.78
38768.33,107894.0267
38768.37,110257.802
38768.42,110795.6683
38768.46,110088.6912
38768.5,108331.094
38768.54,106037.656
38768.58,103671.8201
38768.62,101558.2677
38768.67,99769.67011
38768.71,100196.6013
38768.75,104019.5489
38768.79,111338.3158
38768.83,113365.7985
38768.87,112244.3139
38768.92,108303.202
38768.96,101737.4808
38769,95403.54562
38769.04,90644.61882
38769.08,88233.92533
38769.12,87439.9686
38769.17,87394.8242
38769.21,89414.61085
38769.25,95501.23296
38769.29,106061.6737
38769.33,111144.2241
38769.37,109830.2154
38769.42,107844.1529
38769.46,106044.2205
38769.5,104104.1855
38769.54,102085.2994
38769.58,100121.1255
38769.62,98240.05008
38769.67,96687.73085
38769.71,96895.79578
38769.75,99891.26072
38769.79,107074.7807
38769.83,109836.7848
38769.87,108664.0477
38769.92,105228.4694
38769.96,99562.7369
38770,93000.77035
38770.04,88308.61292
38770.08,86013.40251
38770.12,85076.74368
38770.17,84817.03247
38770.21,86541.14319
38770.25,92205.6134
38770.29,102320.167
38770.33,107748.9227
38770.37,107335.3758
38770.42,106384.0669
38770.46,105637.3284
38770.5,104285.5804
38770.54,103018.1265
38770.58,102015.256
38770.62,100688.8172
38770.67,100020.6613
38770.71,101328.2681
38770.75,104524.8965
38770.79,108333.3081
38770.83,109054.2724
38770.87,107059.846
38770.92,102820.7162
38770.96,96577.05522
38771,89587.97036
38771.04,84581.31862
38771.08,81990.49104
38771.12,80811.45815
38771.17,80688.33377
38771.21,82413.00495
38771.25,88042.32981
38771.29,98657.68045
