Date,year,month,weekend
19603,1953,9,0
19604,1953,9,0
19605,1953,9,0
19606,1953,9,0
19607,1953,9,1
19608,1953,9,1
19609,1953,9,0
19610,1953,9,0
19611,1953,9,0
19612,1953,9,0
19613,1953,9,0
19614,1953,9,1
19615,1953,9,1
19616,1953,9,0
19617,1953,9,0
19618,1953,9,0
19619,1953,9,0
19620,1953,9,0
19621,1953,9,1
19622,1953,9,1
19623,1953,9,0
19624,1953,9,0
19625,1953,9,0
19626,1953,9,0
19627,1953,9,0
19628,1953,9,1
19629,1953,9,1
19630,1953,9,0
19631,1953,9,0
19632,1953,9,0
19633,1953,10,0
19634,1953,10,0
19635,1953,10,1
19636,1953,10,1
19637,1953,10,0
19638,1953,10,0
19639,1953,10,0
19640,1953,10,0
19641,1953,10,0
19642,1953,10,1
19643,1953,10,1
19644,1953,10,0
19645,1953,10,0
19646,1953,10,0
19647,1953,10,0
19648,1953,10,0
19649,1953,10,1
19650,1953,10,1
19651,1953,10,0
19652,1953,10,0
19653,1953,10,0
19654,1953,10,0
19655,1953,10,0
